ID,Battle ID,Battle Type,Battle Type ID,Battle Name,Game platform,Missions,Release date,Last updated,Creator(s),Average rating,Reviews,Bug reports,Times completed,Patches used,Patch IDs,Battle URL,Download Link,Folder Location,Filename,Path
1256,XvT-TC 119,XvT-TC,119,The Minos Campaign,X-Wing vs. TIE Fighter,5,12/11/2005,2/22/2009,LCM Alan Makhlar,4,4,2,37,EH Ship Patch for XvT | E-Wing | K-Wing,8|34|54,https://tc.emperorshammer.org/download.php?id=1256&type=info,https://tc.emperorshammer.org/downloads/battles/XvT/TC/XvTTC119.zip,C:\Users\kevin\Documents\Projects\EH\XvTTC119,bothan4.tie,C:\Users\kevin\Documents\Projects\EH\XvTTC119\bothan4.tie
1256,XvT-TC 119,XvT-TC,119,The Minos Campaign,X-Wing vs. TIE Fighter,5,12/11/2005,2/22/2009,LCM Alan Makhlar,4,4,2,37,EH Ship Patch for XvT | E-Wing | K-Wing,8|34|54,https://tc.emperorshammer.org/download.php?id=1256&type=info,https://tc.emperorshammer.org/downloads/battles/XvT/TC/XvTTC119.zip,C:\Users\kevin\Documents\Projects\EH\XvTTC119,bothan5.tie,C:\Users\kevin\Documents\Projects\EH\XvTTC119\bothan5.tie
1257,XvT-F 200,XvT-F,200,XvT-Free 200,X-Wing vs. TIE Fighter,1,12/18/2005,2/22/2009,HA Frodo March,4.4,10,0,49,None,,https://tc.emperorshammer.org/download.php?id=1257&type=info,https://tc.emperorshammer.org/downloads/battles/XvT/free/XvTF200.zip,C:\Users\kevin\Documents\Projects\EH\XvTF200,200fool.tie,C:\Users\kevin\Documents\Projects\EH\XvTF200\200fool.tie
1258,XvT-F 201,XvT-F,201,We Owe Him One,X-Wing vs. TIE Fighter,1,12/18/2005,2/22/2009,COL Flint Darkstar,4.5,6,0,47,EH Ship Patch for XvT,8,https://tc.emperorshammer.org/download.php?id=1258&type=info,https://tc.emperorshammer.org/downloads/battles/XvT/free/XvTF201.zip,C:\Users\kevin\Documents\Projects\EH\XvTF201,Owehimone.tie,C:\Users\kevin\Documents\Projects\EH\XvTF201\Owehimone.tie
1259,XvT-F 202,XvT-F,202,A Family Affair,X-Wing vs. TIE Fighter,1,12/18/2005,2/22/2009,LT Kate Flyer,2.8,4,1,15,EH Ship Patch for XvT,8,https://tc.emperorshammer.org/download.php?id=1259&type=info,https://tc.emperorshammer.org/downloads/battles/XvT/free/XvTF202.zip,C:\Users\kevin\Documents\Projects\EH\XvTF202,Supplies.tie,C:\Users\kevin\Documents\Projects\EH\XvTF202\Supplies.tie
1260,XvT-F 203,XvT-F,203,Battle at Pelican's Point,X-Wing vs. TIE Fighter,1,12/18/2005,2/22/2009,LT Kate Flyer,3.8,6,0,40,EH Ship Patch for XvT,8,https://tc.emperorshammer.org/download.php?id=1260&type=info,https://tc.emperorshammer.org/downloads/battles/XvT/free/XvTF203.zip,C:\Users\kevin\Documents\Projects\EH\XvTF203,Refuel.tie,C:\Users\kevin\Documents\Projects\EH\XvTF203\Refuel.tie
1261,XvT-F 204,XvT-F,204,Dead of Space,X-Wing vs. TIE Fighter,1,12/18/2005,2/22/2009,CM Ghorg | GN Kaisin Mirtez,2.8,4,1,20,EH Ship Patch for XvT,8,https://tc.emperorshammer.org/download.php?id=1261&type=info,https://tc.emperorshammer.org/downloads/battles/XvT/free/XvTF204.zip,C:\Users\kevin\Documents\Projects\EH\XvTF204,deadofspace.tie,C:\Users\kevin\Documents\Projects\EH\XvTF204\deadofspace.tie
1262,XvT-F 205,XvT-F,205,Fallen Heroes,X-Wing vs. TIE Fighter,1,12/18/2005,2/22/2009,GN Ric Hunter,3.4,9,0,60,EH Ship Patch for XvT,8,https://tc.emperorshammer.org/download.php?id=1262&type=info,https://tc.emperorshammer.org/downloads/battles/XvT/free/XvTF205.zip,C:\Users\kevin\Documents\Projects\EH\XvTF205,heroes.tie,C:\Users\kevin\Documents\Projects\EH\XvTF205\heroes.tie
1263,XvT-CD 1,XvT-CD,1,CDNG,X-Wing vs. TIE Fighter,9,12/25/2005,2/22/2009,HA Ender mBind,2.3,8,0,26,EH Ship Patch for XvT | TIE Advanced x1 | Enforcer Picket Ship,8|91|31,https://tc.emperorshammer.org/download.php?id=1263&type=info,https://tc.emperorshammer.org/downloads/battles/XvT/CD/XvTCD1.zip,C:\Users\kevin\Documents\Projects\EH\XvTCD1,CDNGXVT1.TIE,C:\Users\kevin\Documents\Projects\EH\XvTCD1\CDNGXVT1.TIE
1263,XvT-CD 1,XvT-CD,1,CDNG,X-Wing vs. TIE Fighter,9,12/25/2005,2/22/2009,HA Ender mBind,2.3,8,0,26,EH Ship Patch for XvT | TIE Advanced x1 | Enforcer Picket Ship,8|91|31,https://tc.emperorshammer.org/download.php?id=1263&type=info,https://tc.emperorshammer.org/downloads/battles/XvT/CD/XvTCD1.zip,C:\Users\kevin\Documents\Projects\EH\XvTCD1,CDNGXVT2.TIE,C:\Users\kevin\Documents\Projects\EH\XvTCD1\CDNGXVT2.TIE
1263,XvT-CD 1,XvT-CD,1,CDNG,X-Wing vs. TIE Fighter,9,12/25/2005,2/22/2009,HA Ender mBind,2.3,8,0,26,EH Ship Patch for XvT | TIE Advanced x1 | Enforcer Picket Ship,8|91|31,https://tc.emperorshammer.org/download.php?id=1263&type=info,https://tc.emperorshammer.org/downloads/battles/XvT/CD/XvTCD1.zip,C:\Users\kevin\Documents\Projects\EH\XvTCD1,CDNGXVT3.TIE,C:\Users\kevin\Documents\Projects\EH\XvTCD1\CDNGXVT3.TIE
