ID,Name,Uses Slot,Prerequisite ID,Platform,Type,Fleet Manual,Creator,3D Artist,2D Artist,Date released,Date updated,Number of craft,Custom cockpit,# Reviews,# Bugs,# Usages
377,Interceptor Enforcement Ship,200,n/a,X-Wing Alliance,Fighter,Fleet Manual #102,HA Ender mBind,HA Ender mBind,HA Ender mBind,4/18/2004,10/30/2012,1,No,0,0,1
378,Imperial Shuttle Pod Mk.VI,198,n/a,X-Wing Alliance,Utility,Fleet Manual #90,HA Ender mBind,HA Ender mBind,HA Ender mBind,4/17/2004,10/31/2013,1,No,0,0,1
379,Imperial Troop Transport,216,n/a,X-Wing Alliance,Transport,Fleet Manual #103,HA Ender mBind,HA Ender mBind,HA Ender mBind,4/20/2004,10/30/2012,1,No,0,0,0
380,M/FRT the Luggage,218,n/a,X-Wing Alliance,Freighter,Fleet Manual #2,HA Ender mBind,HA Ender mBind,HA Ender mBind,4/11/2004,10/30/2012,1,No,0,0,1
381,Tactical Gunboat,203,n/a,X-Wing Alliance,Fighter,Fleet Manual #130,HA Ender mBind,HA Ender mBind,HA Ender mBind,4/18/2004,10/30/2012,1,No,0,0,0
382,Modified Strike-class Cruiser,92,n/a,X-Wing Alliance,Capship,,HA Ender mBind,CPT Tim,CPT Tim,10/29/2012,11/1/2013,1,No,0,0,5
383,Pursuer Enforcement Ship (EH),n/a,n/a,X-Wing Alliance,Fighter,,HA Ender mBind,HA Ender mBind,HA Ender mBind,4/19/2003,11/4/2013,1,No,0,0,1
384,Phalanx Interceptor Gunboat,195,n/a,X-Wing Alliance,Fighter,Fleet Manual #139,HA Ender mBind,HA Ender mBind,HA Ender mBind,3/30/2001,10/31/2012,1,No,0,0,1
385,Sovereign-class Super Star Destroyer,185,n/a,X-Wing Alliance,Capship,Fleet Manual #144,COL Kermee,Drakken,Drakken,4/17/2004,11/4/2013,1,No,0,0,10
386,Spectre Advanced Missile Boat,188,n/a,X-Wing Alliance,Fighter,Fleet Manual #108,HA Ender mBind,HA Ender mBind,HA Ender mBind,7/6/2000,10/31/2012,1,No,0,0,0
387,Shadow-class Y-Wing,199,n/a,X-Wing Alliance,Fighter,Fleet Manual #131,HA Ender mBind,HA Ender mBind,HA Ender mBind,4/17/2004,11/4/2013,1,No,0,0,0
388,TIE Assault,202,n/a,X-Wing Alliance,Fighter,Fleet Manual #9,HA Ender mBind,HA Ender mBind,HA Ender mBind,4/19/2004,11/7/2013,1,No,0,0,0
389,TIE Drone,208,n/a,X-Wing Alliance,Fighter,Fleet Manual #39,HA Ender mBind,HA Ender mBind,HA Ender mBind,4/19/2004,11/8/2013,1,No,1,0,2
390,TIE Dragon,191,n/a,X-Wing Alliance,Fighter,Fleet Manual #132,HA Ender mBind,MJT,MJT,12/6/2000,11/8/2013,1,No,0,0,2
391,Modular Task Force Cruiser,217,n/a,X-Wing Alliance,Capship,Fleet Manual #155,HA Ender mBind,HA Ender mBind,HA Ender mBind,4/16/2004,10/31/2012,1,No,0,0,3
392,TIE Guardian,190,n/a,X-Wing Alliance,Fighter,Fleet Manual #136,COL Kermee,MJT,MJT,11/19/2000,10/31/2012,1,No,0,0,1
393,Toscan Fighter (EH),n/a,n/a,X-Wing Alliance,Fighter,Fleet Manual #15,HA Ender mBind,HA Ender mBind,HA Ender mBind,2/28/2003,11/9/2013,1,No,0,0,3
394,TIE Phantom,192,n/a,X-Wing Alliance,Fighter,Fleet Manual #125,HA Ender mBind,HA Ender mBind,HA Ender mBind,4/18/2004,11/7/2013,1,No,0,0,0
395,TIE Protector,184,n/a,X-Wing Alliance,Fighter,Fleet Manual #129,HA Ender mBind,HA Ender mBind,HA Ender mBind,1/12/2001,11/8/2013,1,No,0,0,1
396,TIE Praetor,189,n/a,X-Wing Alliance,Fighter,Fleet Manual #138,COL Kermee,HA Ender mBind,HA Ender mBind,10/22/2000,11/8/2013,1,No,0,0,9
397,Trithan Interceptor,217,n/a,X-Wing Alliance,Fighter,,COL Den Darkhill,COL Den Darkhill,HA Ender mBind,10/4/2002,11/9/2013,1,No,0,0,2
